comment,stance,reason,explanation
石破氏のいう通り、日本は高市氏のコメントが中国との関係を悪化させる懸念があることを理解し、慎重に判断すべきだ。,oppose,diplomacy_ability,日中関係悪化の懸念を指摘
"美ヶ原高原美術館、アモーレの鐘が2をお知らせします
(∪^ω^)　🔔彡ﾘﾝｺﾞｰﾝﾘﾝｺﾞｰﾝ♪",neutral,other_reason,施設告知とお知らせ文
ゲルw,neutral,other_reason,ネットスラングで感情表明のみ
朝日に言うたって,oppose,political_ideology,朝日新聞への非難。高市氏の発言を支持しない立場
馬鹿「ヤトウガワルイ」,oppose,political_ideology,言葉遊びで氏名を侮辱した
誰でしたっけ?,neutral,none,記述内容が曖昧で立場不明。誰のことを指すか判断不能
後から攻撃できるいつものポジションにもどって生き生きしてるな,oppose,political_ideology,小西洋之を念頭にした批判表現
今となっては石破に負けたのがよく分かる,oppose,leadership,石破氏への劣勢を認めた批判的発言
女は感情で生きている,neutral,other_reason,政治的立場表明なし
隠さなくなったなｗ,oppose,other_reason,皮肉表現で高市氏を批判
国民に無神経だった人が何言ってんですかね？,oppose,leadership,高市氏の言動に対する指導力の否定
"東スポ
高市早苗首相の台湾有事を巡る発言を契機に日中関係が冷え込む中、中国から日本への旅行客にキャンセルが相次ぎ、インバウンド需要に沸いていた観光地にも打撃が徐々に広まっている。

　
ひろゆき氏　高市首相の台湾有事発言「日本が得たものあまりない。経済的なマイナスは明確に存在」
　
保守しぐさ議員はマジ浅はか、無能、無責任、人のせいばっか

つまり幼稚
　
さっさと辞任しろコメ高主導もお前が犯人だとバレた高市",oppose,leadership,高市首相を「無能」「幼稚」「辞任しろ」と直接批判
立憲民主党の政治家かと思うようなやつだ,oppose,political_ideology,左翼政党を揶揄した表現で批判
そんなに神経使わなきゃならないなら、いっそ断ち切ってしまえ。,oppose,diplomacy_ability,中国との関係を断絶すべきと主張
"そんな配慮するからつけあがるんだろ
高市くらいが丁ptoいいんだわ",oppose,other_reason,配慮への批判と高市擁護を明示
舐めてもらっては困るﾄﾞﾔw,oppose,political_ideology,中国の反感を意識し、「舐める」発言は右傾化と受け止められた
食べ方汚いやつは黙ってろ,neutral,other_reason,異議申し立てではなく対立相手を攻撃
女は甘やかされてきたから、細心の注意払うのは無理だよ,oppose,leadership,個人の能力不足を主張し、リーダー資質を否定
石破「（中国様の顔色を）よく認識しながらやって」,neutral,other_reason,中国を「中国様」と比喩的に表現。ただし評価ニュアンス不明で立場明確でない。
石はの人気のなさは異常,neutral,neutral,石破氏の人気に関する一般陳述で、高市氏への立場表明がない
この人って他人の悪口ばっかり言ってるねだからこそメディアに重宝されてるのか,oppose,political_ideology,高市氏を悪口と言う形で批判
nan,neutral,other_reason,コメントが存在しない
前総理は大人しくしてしゃしゃり出てこないのが定石なのになん何だこいつ やめたら以前みたいに後ろから撃つクソ野郎ぶりを発揮してやんの,oppose,leadership,石破氏の言動を否定し、人柄を攻撃
安倍ですらはぐらかして八方美人外交してたのにｗｗ 高市とかいう無能www,oppose,leadership,高市氏を「無能」と皮肉った
有事の際は沖縄県民は九州へ避難すると石破が決定したじゃん 大戦中の集団疎開みたいなこと言い出して絶対に無理だろう それでも沖縄県民やマスコミは石破を叩くことは無い,oppose,other_reason,石破氏の避難決定を風刺的に批判
"物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",oppose,political_ideology,高市氏への皮肉と政権批判を含む
石破の全裸ハニトラ写真なんて見たくないんだけど,neutral,other_reason,内容が記事とは無関係で立場表明がないため
実質クビになった石破はもう消えてくれよ,oppose,leadership,石破氏への指導力否定
お前誰だよ,neutral,other_reason,自己紹介なしで相手を疑問視する非対応表現
中国に下半身握られてるやつがなにいってんだか,oppose,political_ideology,高市氏を中国に屈服した者と批判
イタリアとガンガン親交を深めていただきたい,neutral,other_reason,高市氏擁護・批判の両方は含まれず、提案事項のみ
こいつほんとに石破茂だなｗ 後ろから撃つことしかしねえな,oppose,leadership,石破氏を批判して指導力欠如と描く
今のところ高市は俺は間違ってない！俺は悪くない！しか言ってないけどどうすんだろうな,oppose,leadership,行動の誤りを認めず責任回避しているため
イシバ,neutral,other_reason,لقب renaming だけで明確の判断がつかない
黙っておむすび食ってろよ(´・ω・｀),oppose,other_reason,高市氏への直接的な非難表現
ゲルはラーメン食べてりゃいいよ,neutral,other_reason,話題が記事内容と無関係
それはそう,neutral,other_reason,相手の発言をただ認める反応で、立場表明なし
もはや全く触れられない人,oppose,leadership,高市氏が無視されていると批判
総理辞めたら生き生きしだしてマジでゴミ過ぎる,oppose,leadership,総理不在で生き生きと述べ、指導力批判
椅子ふんぞり返ってスマホポチポチやってりゃ波風も立たんわな,oppose,leadership,高市氏の無責任な態度を批判
お前はとっとと手勢引き連れて自民割って潰せよ,oppose,leadership,高市氏への否定的な指導力評価
イキって得すること何もない,oppose,political_ideology,イキっている姿勢を批判
石橋を叩いては先送りし続けて何も進まなかった石破が言うと説得力あるな！,oppose,leadership,石破の持つ成果が乏しいことを批判
>>32 首相になったとき「マジかよ、バカなんじゃねえのか自民党」って自分で思ってそう,oppose,political_ideology,自民党への否定的発言が明示され、政権への不満が裏にあると解釈
石破さんは、お供の森山、岩屋連れて立憲共産公明党にでも移った方が考え合うんじゃないか,oppose,leadership,石破氏への不信感から指導力疑問を呈している
石破がお墨付き出したぞw 高市発言は正しい,support,leadership,石破氏の支持をほのめかし、高市を評価
だまれ役立たず,oppose,leadership,高市氏への直接的人身攻撃で指導力否定
もう発言冒頭から「戦艦が～」って目も当てられないよな,oppose,leadership,影響力のない発言と批判
中国には神経を使ったけど日本人には全くの無神経だった石破ちゃんが言うと説得力が段違い,oppose,political_ideology,石破氏を批判し、対中国・対日差別的な言動を指摘
">>39
そういうとこなんだよ
総理の立場だと言えない事もあるっての",oppose,diplomacy_ability,総理としての立場の有無を問う批判
ゴミがまた文句だけいってる,oppose,political_ideology,政治的意見対立の上での非難表現
こんなに後ろから矢打つ前総理過去にいないよな,oppose,leadership,石破氏を批判し、指導力に懸念を示した
"ハニトラリスト公開されたら困る人かな？w
安心しろ、中国はもうヘタれた。
【速報】 中国国営新聞社 「日本はすでに代価を支払った」 中国SNSで1位に 高市総理の発言めぐり ★2 [お断り★]
https://asahi.5ch.ne...newsplus/1763875137/",support,diplomacy_ability,中国に対抗する外交姿勢を肯定
>>45 一番仲がいいのは鉄ヲタ仲間の野田さんやろ,neutral,other_reason,台湾有事の話題と無関係
"80兆カツアゲされたクズにだけは言われたくねぇだろ
ほんまこの豚山上されねぇかな",oppose,political_ideology,高市氏を激しく非難・差別語で侮辱
石破の２万円がお米券に(’A`;),neutral,other_reason,石破氏の財政政策に関する皮肉表現
何の戦略も無しにアホ市さんがイキリ発言,oppose,political_ideology,アホ市とイキリ発言で政治的批判
安倍は死んでも政治家として名前は度々出てくる。ある意味生きている。一方石破は政治家としてはもう死んでいる。,oppose,leadership,石破氏の政治的現存意義を否定
">>1
アカヒが捏造したんだが",oppose,criticism_validity,高市氏の発言自体を否定
">>1
この石破って人、
拉致議連の会長時代、被害者家族と1度も会ったことがない無責任な人だよ。",oppose,leadership,人柄や責任感に対する否定的評価
アホは黙って鳥取に帰れ！,oppose,other_reason,高市氏への侮辱的発言
"本人より。
反日ペテンクソ土人と税金サルの集まり　売国ペテンハゲが税金と人海戦術で捏造サイトを作って勝手に祭り上げたりしてます
これは捏造サイトなので税金で行われてるフィッシングサイトでペテンです（犯人はもちろん売国ペテンハゲと税金ザル及び反日ペテンクソ土人）
特技は捏造　ホラ吹き　ネットで捏造や工作行為　ハセカラ騒動は反日ペテンクソ土人と売国ザル（税金もらってる関係者）が起こした存在しない捏造事件で　登場人物は税金もらってる関係者だらけです

本人は人間関係自体　もう８年ぐらい必要以上で人と関わっていません
整形がどうのこうの　整形していません　工作です　しようと思ったことすらないです

今　都内に歩いてる外人は基本的に全てそれだと思って正解です

追記
高市早苗　こいつも売国クソジジイと反日ペテンクソ土人の仲間の傀儡クソ漏らしうんこババアなので追放推奨です
（女性の味方みたいな顔してますが　真相は逆で女性の敵です）
次から次へと売国ハゲの傀儡人形みたいなのが表に出てこようとしますが　似たようなもので意味がないです
クソ漏らしハゲオムツのなすりつけ政治と極悪政治をいつまでも続けようとしてます

就任早々に　税金を使ってクソザルを動員してネットでペテン工作をずっとしてます
理由は主に売国目的です　日本を反日ペテンクソ土人に乗っ取らせるためです

こいつが暴れてる理由はバーコードハゲ（石破）と同じで反日ペテンクソ土人に日本を売り渡すためです
今すぐ日本から追放した方がいい最悪の売国奴です
日本女性の味方という仮面をかぶってますが　真相は売国オムツハゲと完全にグルで女性の敵です

高市早苗（クソ漏らしうんこババア）がした行為
就任早々に税金でサルを人員動員してネットでペテン工作及び売国行為
反日ペテンクソ土人とクソ漏らしオムツハゲの性犯罪に加担及び性犯罪に誘導
しかも反日ペテンクソ土人と完全にグルになって調子に乗って暴れてますね
今すぐ氏んだほうがいい

暴れてる犯人はこれが正体です
https://www.instagram.com/fvooo00/

注意）特に今　都内で歩いてるハゲた外人を見かけたら　基本的にそれが犯人と思って正解です",oppose,political_ideology,高市氏を売国・反日といった Ideological Evalつうい記述
石破の方が上だからな,oppose,leadership,高氏より石破氏を評価し、指導力を裏付けている
"苦言するものでもなく否定するものでもない
石破らしいスタンス",neutral,neutral,特定の立場を表明せず、中立的評価
