comment,stance,reason,explanation
在外公館や外務省が頑張ってない。大丈夫？,oppose,diplomacy_ability,外交対応の不十分さを批判
You.Tubeで大宮公園のピースくん見てからビールでも飲むかな,neutral,other_reason,動物の話題で政治とは無関係
"この人もなかなかクレイジーだよね
本国は何時までほっとくんだろ",oppose,political_ideology,保守的行動をクレイジーと揶揄し否定
"ブラフだなあ
まだまだ余裕だわ",oppose,leadership,指導者としての余裕を見えないと批判
無能の中国共産党は知らなかったんだろうな,oppo,political_ideology,中国共産党を直接批判しており、政権の無能を指摘
だいたい何年まえの話ししているんだよ,neutral,other_reason,文脈が過去の話に触れただけで議論行動への評価なし
軍国主義w,neutral,other_reason,蔑称の使用で主張が曖昧
苦しい反論すね 条文残ってますが何か？で終わりだろ,oppose,diplomacy_ability,外務省の反論を無力と批判
死文化されたとしても削除されていないことは事実だからな,neutral,neutral,立場表明なし、事実叙述のみ
"中国が日本を恐れてるのは日本が理詰めでくるからだよ
だから下品な戦狼外交に頼るしかない",support,diplomacy_ability,中国の外交を批判し、日本の理詰め外交を評価
">>1
おいおい、侵略する気はあるんかい",oppose,criticism_validity,中国大使館の主張を大規模に疑問視
負け犬ジャップは立場わきまえろよ,oppose,political_ideology,日本を貶める表現による批判
戦争になったら、いちいちマジメに条文守らないだろう。マジメ超越するから戦争になるんだよ,neutral,other_reason,記事فرとは無関係で、戦争と条文の関係に関する一般的な意見
正論でぶん殴り続けるとますます国際的な孤立が避けられなくなる 一度徹底的に追い詰めるか,oppose,diplomacy_ability,外交的孤立を批判し、対応が甘いと主張
">>12
その負け犬国に住んでるお前も負け犬",oppose,criticism_validity,高市氏批判を含む敵対的攻撃
反人類グローバリスト組織国連と中国共産党のタッグ　考えうる限り最悪の組み合わせだ,oppose,political_ideology,中国共産党と国連を否定的に描写
アホなサヨク軍国主義者詰みw,oppose,political_ideology,サヨク・軍国主義けん引で批判
"中国は日本を必要としていないが
日本は中国を必要としている
国交が無くなれば日本が立ち行かなくなる
中国への影響は限定的
日本にはカードがない",neutral,,日本・中国関係の見解で、高市氏に言及なし
まー敗戦国をいびり倒す世界だしなぁ。米帝と中国がそういう点で利害が一致してる。,neutral,other_reason,国際情勢の一般的な意見表明
