comment,stance,reason,explanation
1 ぐれ ★ 2025/11/27(木) 20:55:26.97,neutral,none,ユーザー名と日時のみで立場表明なし
ぐれ ★ 2025/11/27(木) 20:55:26.97,neutral,other_reason,スレッドIDのみで個人発言なし
嘘つきはニダの始まり,oppose,other_reason,虚偽性を非難する内容
"日本人は反省しろ
真実を言われてんだぞ
オールドメディアを信用していいのか？
信用できないと言ってるのは君ら日本人だ！つまりこの情報は真実である",oppose,diplomacy_ability,小西洋之批判を支持し日本外交を批判
"どんどん広がる高市ショック
〈奈良が泣いている…〉高市ショック直撃で地元が“観光崩壊”危機…中国の渡航自粛でインバウンドの半数近くが消失する懸念も",support,leadership,高市氏への観光被害綿延を支持見方としています。
もとからウクライナの次はこっちだからな,neutral,other_reason,記事と無関係な内容
奈良はキチガイが多くて危険そう,neutral,neutral,地域の治安に関する個人的感想で、立場表明がない
嘘にも程がある,oppose,criticism_validity,報道内容への信憑性否定
そんな国には来なくていいよ,oppose,diplomacy_ability,日本への訪問を拒否する内容で外交姿勢を批判
"国家レベルで嘘つき
南京虐殺も嘘なんだろな",oppose,political_ideology,中国側の歴史認識に対する否定
今まで敬遠してたけど、京都に行こうかな,neutral,other_reason,旅行観光に関する個人的言及で立場不明
道端でウンコするな！大声で騒ぐな！,neutral,other_reason,外国人の行動を非難しており、高市氏の評価とは無関係
クマが出るから来ないほうがいいよ,neutral,neutral,記事と無関係な内容
"嘘つきとは会話が成立しない
話し合いで解決は不可能です",oppose,diplomacy_ability,中国側への交渉不可能性を主張
"中国には嘘しかない
無様ね",oppose,other_reason,中国への否定と嘲笑を明らかにした
"おもろ（笑）
朝日新聞のフェイクに対抗してフェイクなんだろうな",neutral,other_reason,フェイクの相互批判であり、立場表明はない
隙を見せた高市が悪い,oppose,political_ideology,高市氏の行動が原因との非難
"日本は
中国からもアメリカからも警戒される
ならず者国家",oppose,political_ideology,日本を『ならず者国家』と表現し、否定的レべッ.
そんなぬるい事言ってないで渡航禁止にしてよ,oppose,diplomacy_ability,穏やかな対応を批判し、強硬な外交措置を求めている
"もっと警告しろ
日本人は全員中国人の敵だぞ",oppose,political_ideology,中国を敵視する右翼的発言
本当に人民の安全を考えるのなら渡航禁止にするべきだろ。,neutral,,立場表明なし。国家安全の観点からの事実叙述。
まぁどんどん嘘吐いてもらって無様を晒して貰いましょうw,oppose,political_ideology,右翼的な行く末への批判を示している
中国国民が台湾の件で怒ってるって設定は何処に行ったの？（笑）,neutral,other_reason,台湾問題を引用せず単なる皮肉表現
ウクライナ支援をケチって露助を撤退させなかったから予定通りにこっちに来たぞ,oppose,other_reason,主権侵害の責任を支持者に転嫁
中華ゲームがヤバい,neutral,other_reason,対象が人ではなくゲームであり、個人への評価ではない
だから何で嫌いな国に来たがるんだよ,neutral,none,立場表明や人物批判なし
