comment,stance,reason,explanation
立憲民主党の小西洋之参院議員が22日までに自身のX（旧ツイッター）を更新。高市早苗首相の台湾有事をめぐる発言による影響について自身の見解を述べた。,neutral,neutral,記事内容を単に要約
だからゴキブリは早く死ねよ,neutral,other_reason,話題の要領に合わない内容
都合が悪いんだろうなw,oppose,other_reason,相手の立場に共感し、皮肉を込めて批判
劣勢のパヨパヨさんたちが励ましのお便りと熱烈賛同してるわけね？わかります,oppose,other_reason,パヨパヨ批判と高市擁護を含むトーン
また炎上商法？無能,oppose,leadership,政治家としての能力不足を直接批判
ハニトラかな？,neutral,other_reason,ハニトラは政治批判と無関連な比喩表現
小西お里が知れますね（笑）,oppose,political_ideology,相手の出自を笑いものにし、政界人への批判を含む。
あのコニたんにも言われてしまったなｗｗネトウヨｗｗｗ,oppose,other_reason,ネトウヨと皮肉り批判
"物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",oppose,other_reason,「高市」に物価高さを負じ、日銀強硬策を煽る
自称憲法学者でクイズ王の政治オンチw,oppose,leadership,政治知識のなさを皮肉ってる
">>1
>とんでもない安全保障オンチでああり、外交オンチである
それを立民が言うというジョーク",oppose,politics_ideology,立民を批判し、政権交代の笑い話に持ち込む
パヨクは頭がおかしすぎて脳みそがスカスカなんだろうな,oppose,other_reason,高市首相批判に共感し、相手を誹謗する表現
こいつに言われなくなったら終わりだろｗ 中国大使館が引用して仲間認定してる奴だぞ,oppose,criticism_validity,小西の批判を受ける対象として捉えている
ハニトラ公表早くしろよ,neutral,other_reason,内容が具体的な批判や支持でない
コイツいつ亡命するんだろうな,oppose,leadership,人物としての資質を否定
古市はなんか言ってるかな？自称社会学者のコメンテーターもアレで終わったな,oppose,criticism_validity,'アレで終わったな'は批判的
小西さんの分析鋭いですな,oppose,criticism_validity,小西議員の批判を肯定し支持
>>11 そもそも政治音痴だし,oppose,leadership,政治音痴と直接批判
>>8 嘘でもいいから言って,neutral,other_reason,批判意図不明・文脈曖昧
"立民は外交なんてやったことないじゃん
童貞が他人の夫婦生活にケチ付けてるようなもん",oppose,political_ideology,野党批判と極めて感情的表現を駆使。
"石破、高市は社交性がないとかテレビでは言われている
友達が少ない
ただ、石破は弁が立つ
高市は弁が立たない",oppose,leadership,発言能力の低さを指摘し、リーダー不适格を示唆
事実陳列罪でネトウヨがファビョった,neutral,other_reason,事実陳列でない主張が浮かぶ
"ただ、石破は弁が立つ
え？？
え？？？？",neutral,other_reason,文脈から意見主張が不明
国際会議で手持無沙汰にスマホ弄ってた石破が、何の便が立つって？,neutral,neutral,人物と相違により場面が正確ではない
高市総理は戦争を抑止していることにも気付かない小西はマジでアホだな。米国のシンクタンクが24のシナリオを想定して「中国が台湾進攻した場合」のシュミレーションを行ったところ、中国が負けたパターンの時は、日本が米軍の後方支援をしていた時だった。このようなシュミレーションは中国側もやってるはずで、とにかく日本には大人しくっていてもらいたいって意図がある。だから高市発言は戦争の抑止をしていることになる。日本が「存立危機」を言い続ける限り、中国は台湾侵攻できないからね。世界はそれを知ってるから、世界中が今、日本に味方しているんだよ。,support,security_ability,高市発言が戦争抑止に寄与したと評価
石破のふけアタックを舐めるなよ,neutral,neutral,小西洋之への批判でなく、石破による攻撃について述べているため、立場を持たずneutralで判定。
と、外交ウンチが仰っております,oppose,diplomacy_ability,『外交ウンチ』という表現で外交能力を批判
過半数野党で総裁選の時に立憲共産党は政権取れたのに「じゃオマエがやってみろ」ってこいつに言ってやりたいよな,oppose,leadership,野党の政権交代主張と高市氏への対抗意識
総務省の小西文章はひどかった あれで何十時間無駄にした？,oppose,other_reason,総務省の文書に関し否定的評価
>>14 これが1番楽しみなのよｗ,neutral,other_reason,ブックマーク反応としての術的喜びを表明
こいつたらこにも論戦でボコボコにされる雑魚じゃん,oppose,intelligence,小西氏にボコボコにされたと述べ、能力を否定
