comment,stance,reason,explanation
自衛隊階級名の変更「本音は旧日本軍化ではないか。ほとんどの欧米人は気づかないだろう。しかし漢字を使う中国人にはすぐ分かる」元文科事務次官・前川喜平氏,oppose,political_ideology,「旧日本軍化」というネガティブな表現を通じて右傾化を批判
nan,neutral,other_reason,コメントが存在しない
おまいう   奥迈,neutral,other_reason,意味不明なスラングで判断不能
2なら在日中国人全員強制帰国   2. 所有居住在日本の华人被迫返回日本,neutral,other_reason,政策提案で個人価値観を表明せず、論点外
いつまで経っても軍事軍事の国が周りにあるからな,neutral,other_reason,事実述べで立場なし
と現在の軍国主義国家が   以及现今的军国主义国家,neutral,neutral,内容が明確ではなく立場の表明がない
"日本を焦土と化す    将日本变成焦土
高市早苗ならやりかねないね    高市早苗可能会做",oppose,political_ideology,高市早苗を右傾化で批判
,,,
">>1
総領事がアカヒに騙されたんだろ",neutral,other_reason,発言者自身の意見ではなく他人の発言を引用
大陸は平和主義だ,neutral,neutral,単なる主張の再提示で、高市氏への評価なし
"＞政治局員兼外相
その辺の木っ端役人じゃないからな
中国の最高指導部という事は、習近平の意向だわ",neutral,other_reason,中国指導部の構成と習近平の意向に関する陈述。高市氏批判や擁護を含まない。
玉毅くん、はしゃぎすぎ   玉木君太爱玩了,oppose,other_reason,文脈から王毅外相への皮肉
もう自己紹介なんだか妄想なんだか迷走しまくりだな,neutral,other_reason,誰の自己紹介か不明で、明確な立場表明がない
中国ってとんでもねえ軍国主義だよな,oppose,political_ideology,中国を軍国主義と批判している
軍国主義の中国に言われてもなw,oppose,political_ideology,中国を軍国主義と批判した内容
王毅将軍「ここここ,neutral,other_reason,単なる引用の断片で、意見表明なし
王毅さんって日本に長くいたので日本にもファンは多かった。イイ人だって分かってるので、中国共産党で生き残るのは大変なんだネ〜っていう感想しかないナ　こんなんプロレス臭しかしないデショ、この人が言ったって,neutral,other_reason,感情と負の感想が混在し、立場が曖昧。
あんたらの国の方が軍事国家やろw,oppose,political_ideology,日本を軍国主義と非難
,,,
"スルーしてるうちに日本の悪評が広がる
韓国が慰安婦像あちこちに置いて日本が悪いってのを定着させるのに成功したしね
その辺をちゃんと研究してるんだろうな",oppose,political_ideology,日本に対する政党批判という政治的立場表明
内政干渉とはこの事   这就是干涉内政的意思。,neutral,other_reason,この文は単なる言葉の説明であり、立場を示していない。
,,,
おまいう   奥迈,neutral,other_reason,効果的な分類が不可能
"軍事的には防衛できないほど弱いからしかたない
軍事力を持たないと抵抗もできない",oppose,security_ability,日本軍の防衛力が弱いと批判
日本の味方は世界にいない説,neutral,neutral,国と国間の同盟関係について考察しており、立場は表明していない。
台湾有事,neutral,none,単語の表明であり立場表明なし
,,,
"小泉進次郎防衛相が21日、YouTube番組「ReHacQ−リハック−」に出演し、高市早苗首相が「反省している」とコメントした。
本人のホンネ暴露キターーーーッ    那个人的启示风筝
もう進次郎は親の立場じゃん    真治郎已经是家长了。",oppose,political_ideology,小泉の発言が高市と対立する立場を示唆しており、対立的文脈で位置づけられる。
"今、何時代だよ？！
現在は哪个时代了？！",neutral,neutral,時代についての問いかけであり、立場表明がないため
,,,
"見てよこの王毅外相の言い分    看看王毅外长的论点
左翼の言ってることとそっくり    这正是左翼所说的。
もう馬鹿でもわかるよね。左翼は中国の尖兵    就算是傻瓜也能理解。 左翼是中国的先锋
よっぽどの馬鹿でもない限り騙されることはないと思う",oppose,political_ideology,高市氏の政見を中国 поддерживаem する左翼と見なし批判
中国王毅外相までステージ上がったわ　はよ習近平でてこい,oppose,political_ideology,日本官僚調印としてナショナリズムを支持する表現
"あーあ 
クソBBAはよやめーや",neutral,other_reason,感情表現のみで立場不明
めちゃくちゃ焦っとるやん   我太没耐心了,neutral,other_reason,個人的な感情表現で主張がない
"一歩も引くなよ支那畜    别退缩，中国野兽。
今更ひよってんじゃねーぞ    我现在不想再做女孩了。
この眠れる豚野郎    这个沉睡的猪混蛋
べん髪！てん足！根性無し！    扁平的头发！ 脚！ 没胆量！",oppose,political_ideology,直接的な人種差別的冷笑の表現
単発五毛のスレ,neutral,other_reason,中国に関係するスレを揶揄する同じ意味の言葉の出題　自己主張ではない
キンペーも早く何か言えよ,neutral,other_reason,「キンペー」は特定人物が不明で立場判断不可
">>1
米国(ユダヤ)は既に未来と通信しています。    美国（犹太人）已经与未来进行了沟通。
未来の知見と未来技術でこの世界を裏で完全に統制しています。
我们正凭借未来的知识和技术，在幕后完全掌控着这个世界。
この世界の出来事は全て茶番です。日本の政治も裏で統制されています。
这个世界上的一切事件都是闹剧。 日本的政治也在幕后被控制。

ユダヤは未来を知った上で、現在(過去)において色々と動いてきます。
在知道未来后，犹大在当下（过去）以各种方式行动。
米国の要人がお世辞を言うのは、高市が長く続くのを知っているからです。
美国贵宾奉承他们的原因是知道高市能长久存在。
高市が長く続くのは間違いない。    毫无疑问，高市会长久存在。

ユダヤが後ろ盾にいる以上は選挙に勝つでしょう。
只要犹太人得到支持，他们就会赢得选举。

ユダヤの末端工作員はあらゆる分野にゴキブリのようにいます。
犹太低端特工在各行各业都像蟑螂。
ある時は統一の仮面を被ったり、ある時は創価の仮面を被ったりして、
有时我戴着统一的面具，有时我戴着索卡的面具，
政治情勢に応じて支援する人物を変えます。特定の組織に固執することはない。
根据政治形势更换你支持的人。 不要局限于某个特定组织。

さらに、傘下のメディア言論人を操って印象操作をするだけでなく、
此外，不仅纵媒体及其旗下媒体来控印象，
電磁波兵器で大衆の感情を操ったりします。    他们用电磁波武器控公众情绪。
高市の時に中国との間で紛争が起こり、憲法が改正されるかもしれません。
在高市时期，可能与中国发生争端，宪法也可能被修改。",support,political_ideology,高市氏が長期政権になると予言し、支持を表明
台湾侵攻まだー？   台湾入侵已经开始了吗？,neutral,neutral,事実確認を求めただけで立場表明なし。
王毅は日本をよく知ってるからホントは軍国主義とはほど遠いことは知ってる。まあパフォーマンスだよね。,oppose,political_ideology,日本の軍国主義批判を単なる演出と断定
"米国(ユダヤ)は既に未来と通信しています。    美国（犹太人）已经与未来进行了沟通。
未来の知見と未来技術でこの世界を裏で完全に統制しています。
我们正凭借未来的知识和技术，在幕后完全掌控着这个世界。
この世界の出来事は全て茶番です。    这个世界上的一切事件都是闹剧。

この世界の政治には、ユダヤによる配役とユダヤの演出があるだけです。
在这个世界的政治中，只有犹太角色和犹太制作。
昨今のユダヤの演出を窺うと高市の時に中国との間で紛争を起こそうとしている可能性がある。
从最近的犹太作品来看，他可能试图在高井一时代与中国制造冲突。

・メディア言論人などによる異様なヤジへの批判    ·媒体记者对奇怪嘘声的批评等
→批判を封じて独裁的な権力を事実上付与し、戦争を遂行させる。
→阻挡批评，实际上赋予独裁权力发动战争。

・米兵の前での情緒的な演説と軽いノリ    ·美军士兵面前的感人演讲和轻快节奏
→法に合致していなくても情緒とノリで米軍の支援を押し通させる。
即使不遵守→法，也会以情感和热情推动美军的支持。

・スパイ防止法    ·反间谍法
→日中要人の意見交換を妨げて、戦争の回避や和平を困難にさせる。
→阻碍了日中贵宾之间的意见交流，使得避免战争和和平变得困难。

・国旗損壊罪
→国民よりも国旗(国)を上に置いて、国の命令に逆らえない風潮を起こして戦争遂行。
→通过将国旗（国家）高高举在人民之上，制造了无法违抗国家命令的趋势来发动战争。

・議員定数削減    ・ 议员定数削减
→これまでの経緯を無視して比例定数だけを削減し(左派を潰し)、政権を独裁的にして戦争遂行。
→迄今无视历史，只降低了比例常数（镇压左翼），使政府变得独裁，并发动战争。",oppose,political_ideology,高市を反体制的・戦争推進的な存在として描写
戦前から一ミリも成長してないからな    自从战争前我一毫米都没长高。高市支持者って台湾のこと満州だと思ってる    高市支持者认为台湾就是满洲,oppose,political_ideology,高市支持者の見解を批判
47人発狂スレきたぁ！   47个人疯了！,neutral,neutral,記事と無関係な感傷表現
習近平の汚い首を斬る英雄現れないかな,oppose,political_ideology,中国指導者に対する暴力的言及。
オウキは軍国主義しか言えないようだ,oppose,political_ideology,軍国主義の言及により彼の政治的言動を批判している
ロシアがドイツ役担当で中国が日本役担当くらいの感じ,neutral,other_reason,国と国の関係を比喩した発言で自家主張はなし
,,,
">>1
黙れこの侵略者が。 
闭嘴，这个入侵者。",oppose,political_ideology,日本を戦争賛成者と表現
"米国(ユダヤ)は既に未来と通信しています。あらゆる未来技術を備えています。
それでこの世界を裏で完全に統制しています。この世界の出来事は全て茶番です。
台湾有事もです。
日本は中国との間で中台は一つだという条約に調印しています。
その認識は米国においても同様です。だから、国連に台湾が加盟できない。
従って、台湾有事は中国の内戦です。
中国の内戦である台湾有事に日本が巻き込まれるのは、
台湾有事が起こって米軍が介入すると、
安倍政権が解釈改憲して立てた安保法制と日米同盟により、
米軍を支援しなければならないからです。
日本が台湾有事に巻き込まれるのは、国際法を破って台湾有事に介入する米国のせいです。
すべて日本を台湾有事に巻き込もうとする米国の茶番です。",neutral,other_reason,無関係な陰謀論の拡散 Contains element
中国も９条を導入すればぁ？,neutral,neutral,高市氏への支持・批判表明がない
">>1
バチバチの内政干渉    破解内部事务干涉
アホなんか中国人は    愚蠢的中国人",oppose,political_ideology,中国人を概括的に非難
">>48
分割統治
ぶんかつとうち
divide and rule
分而治之
支配者が被支配者を分割、すなわち被支配者の団結を妨げて分裂させ、それをもって統治を容易にさせようと
すること。「分割して統治せよ」ということばは、元来は古代ローマ帝国のその支配地域における統治術をさ
るものである。そこでは被支配部族・民族が互いに離反・対立するように策し、ローマの支配に対する彼ら
の敵愾心(てきがいしん)を分散させ、被支配者の連帯よりもローマへの忠誠心を生み出すようにした。そうす
ることでローマ帝国の統治を容易にした。こうした統治術は植民地時代に欧州列強によって用いられ、イギリ
スやフランスなどは分割統治を原則として植民地住民を統治した。たとえば、スーダンにおける統治でイギリ
スは北部住民（アラブ系）と南部住民（ネグロイド系）の対立を利用し、南部住民を軍隊に用いて北部住民を
抑え込むなどした。",neutral,other_reason,『分割統治』の歴史的解説であり、政権批判を含まず立場表明がない
おまゆう   奥马尤,neutral,other_reason,無意味な文字列、意味不明
王毅よ諦めて憲法9条を受け入れろ   王毅，放弃，接受宪法第九条,oppose,political_ideology,日本戦後に憲法9条を掲げる政治姿勢への反対を表明
そりゃそうよ日本にイチャモンつけなきゃ失脚するだろうよ,oppose,political_ideology,文脈から保守・右傾化を批判
どっちが悪の国なのかの分水嶺,neutral,neutral,主旨がおそらく中国や日本を特定せず、抽象的表現
日本の左翼と言ってる事同じなのはどういう事なんだろうな 中国の覇権主義には何も言わないのに,neutral,other_reason,単なる疑問・不満の表明で、明確な支持・批判はしない
許さなかったらどうするんだ？何ができるんだ？,oppose,political_ideology,日本右傾化への警鐘を発する批判
"米国(ユダヤ)は既に未来と通信しています。あらゆる未来技術を備えています。
それでこの世界を裏で完全に統制しています。この世界の出来事は全て茶番です。

自民党や維新、国民民主党、日本保守党、参政党などの右派が強いのは、
米国の工作組織が裏でメディア言論人を操って巧妙に世論を誘導したり、
資金面や人員面で支援したりしているからです。未来技術も所々で用いて世論を誘導しています。

日本の政治を右派で固めて中露などと戦争させるためです。

だから、自民党の政治資金規正法違反事件もトカゲのしっぽ切りで終る。
共産党など比較的真面な議員の多い政党はメディア言論人に叩かれる。
連合も共産党を排除しようとする。
玉木の不倫も大した問題にならない。
メディア言論人などが高市を異様に持ち上げる。",oppose,political_ideology,高市を右派として批判しつつ、外国勢力による操作と駆り出しとの結びつけを行っているため
国力が落ちたら右傾化して戦争に導くのって間違いないんやぁ😁,oppose,political_ideology,高市氏の右傾化を批判する内容
">>52
お前日本が戦争に中国でどんな酷いことしたか知っててそう言えるのか？",oppose,political_ideology,日本が過去に行った行為への道義的批判を示唆
てめーらが武装解除しろ,oppose,other_reason,日本に非武装化を要求しており、高市氏擁護とは異なる
,,,
卢沟桥事件と通州事件を引き起こした中共は許されるとでも？,oppose,political_ideology,日本側が戦争を引き起こしたと批判
14億人vs１億人で たぶん日本が悪役になる,neutral,other_reason,単なる推測で立場表明がない
