comment,stance,reason,explanation
,,,
,,,
,,,
火付け役の朝日が何言ってるんだか、北キム系だから日中関係悪化は好都合なんだろう・・,oppose,political_ideology,反中・反日思想に基づく批判
朝日はまずお詫びからだろ   朝日先道歉,oppose,criticism_validity,高市氏の発言について謝罪を求めている
トランプに迷惑をかけるキチガイ早苗www,oppose,leadership,「迷惑をかける」は指導力否定
"昭恵「やれ」 
トランプ「はい」 
キンペー「はい」 
早苗「はい」 
安倍ちゃんすげー！",support,political_ideology,安倍への賛辞が高市氏擁護を含意
"高市早苗がバカなだけなのに    高市早苗就是个笨蛋
立憲や朝日新聞に責任転嫁する統一教会のバカウヨどもには呆れるね
我对统一教会那些把责任推给宪法和朝日新闻的感到震惊。",oppose,leadership,高市を直接的に馬鹿と評価
中国終わったな,oppose,political_ideology,高市氏対応を批判する政治的主張
,,,
"高市が暗い表情で笑った    高市带着阴郁的表情笑了笑
ほんとわかりやすい女やな    她是个非常容易理解的女人",oppose,leadership,暗い表情を浮かべた笑顔は指導力の低下を示唆
ネトウヨ不眠症wwww,neutral,other_reason,表現が婉曲で立場が不明
,,,
