comment,stance,reason,explanation
この記事のコメント欄は存在しないため、コメントの分析は不可能です。,neutral,other_reason,記事本文のみでコメント内容が存在しない
"美ヶ原高原美術館、アモーレの鐘が2をお知らせします
(∪^ω^)　🔔彡ﾘﾝｺﾞｰﾝﾘﾝｺﾞｰﾝ♪",neutral,neutral,記事内容に関係なし
スーチーの息子も中国に助け求めてたよな,neutral,other_reason,高市氏発言批判には関連せず、中立的事実転載
弟よ？帝国陸軍の恩を忘れたんか,oppose,political_ideology,右翼的・歴史認識に基づく支持の意図
アフリカミャンマーロシアは中国派か,neutral,other_reason,表明した内容に関連性なし
ミャンマーは草,neutral,other_reason,ネットスラングでミャンマーを語り、主張や評価が不明
一つの中国,neutral,neutral,単なる主張の引用で立場なしが明白
ミャンマーって軍事政権のあれだろ？スーチーならまだしもこれに褒められても…,oppose,political_ideology,軍事政権への支持と批判が伺える
ミャンマーはそういうしかないわな,neutral,none,いうべき立場を表明していない
ビルマじゃないからな,neutral,other_reason,ミャンマーの呼称問題に関する事実指摘
子分で草,neutral,other_reason,ネットスラングで感情表現。擁護・批判の表明ではない。
ミャンマーの空事,neutral,neutral,記事と無関係な内容
はい、トカゲババアの負け,oppose,political_ideology,トカゲババアで高市氏の政治的価値観を批判
">>8
中国の紐付き軍事政権だからなぁ",oppose,political_ideology, militarist government linked to China
日本が持ったミャンマー利権、全ロストキタ,oppose,political_ideology,ミャンマーとの関係悪化を理由に批判
ハシビロコウもびっくり,neutral,other_reason,比喩表現で意味が曖昧
>>5 アフリカは反中暴動起こりまくってるからもう駄目じゃね,oppose,political_ideology,Chinaを否定する枠組みで非難
今だに天安門みたいな事やってる国だな。国民が可哀想,oppose,political_ideology,中国に対する政治的批判を表明
">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",oppose,other_reason,高市氏への揶揄と日銀批判の混合
どーすんのこれ高市www,oppose,political_ideology,皮肉表現で高市氏を批判
【悲報】高市首相、各国の首脳に媚びを売りまくるが相手にされずショックで食事会からトンズラwww,oppose,leadership,媚び売る姿勢から指導力批判
アジアに高市の味方なし…どーすんのこれ🫲🥺🫱,oppose,political_ideology,「味方なし」とは批判的評価
"ロシアへの非難だってジャップは世界中が賛同すると思い込んでたけど実際は世界の半分は「何それおいしいの？バーカｗ」だったしそんなもんだろ
ジャップとかいうバカはまーだ学習してねーのかよ",oppose,political_ideology,日本の政治姿勢を否定
>>21 メローニ（抱きついてくんなよ……このババァ…）,oppose,political_ideology,「ババァ」という表現で人物批評し、右翼的意図を含む。
"いま世界でも有数の治安の悪い国になってるミャンマー
警察がもはや機能してないんよ",neutral,none,治安状況の批判で、高市氏論争とは無関係
>>1 もう日本に労働者送り込んでこなくていいぞｗ,neutral,other_reason,日本・台湾問題とは無関係。
日本の味方どこ？😭,oppose,other_reason,日本の立場を疑問視する感情表現
"高市って総裁選の話題が鹿で、「ひょっとして無能なのかな？」って嫌な予感がしたんだが、予感通りになってしまった
結局、高市は壺で日本を悪くするのが目的なんだろうな",oppose,political_ideology,政治的意図を否定的に評価
ミャンマーはそろそろ中国領になるのでは,oppose,political_ideology,中国主張に共感する政治的見解
新　華　社,neutral,neutral,新聞社名のみの記載で立場なし
中国父さんからビビって逃げる早苗 涙の食事会トンズラ…😭,oppose,leadership,指導力欠如を「ビビる」と皮肉
