comment,stance,reason,explanation
昨年の衆院選と今年の参院選で自民党が大敗して議席を減らした大きな理由のひとつは『政治とカネ』の問題に国民が納得できていないからでしょう。国民の関心も高く、与野党で協議してきたこの問題を、高市氏は驚いたことに『そんなこと』と切り捨て、議員定数削減に話をすり替えました。,oppose,leadership,議論をすり替える態度を批判
"物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",oppose,leadership,高市氏を皮肉と罵倒で批判
一休さんのとんちみたいだな,oppose,political_ideology,小西洋之議員の批判を背景に入れた含有的評価
約束は必ず守る立派な人なんだ,support,leadership,高市氏の約束守りを称える
つまりやらないということですか？,oppose,leadership,高市氏が公約を果たさないと批判
これこそパヨクとバカマスゴミ以外はどうでもいい話,oppose,other_reason,高市氏を含む与党陣営を蔑視的に非難
まあ全員だろうしな,neutral,neutral,当事者を特定せず曖昧に表現
,,,
"2025.11.10
高市首相「NHK党とは組んでいない」 自民は立花党首逮捕のN党参院議員と会派結成 ★3
https://asahi.5ch.ne.../newsplus/1762830591

　↑
超絶嘘吐き（=反日主義者=スパイ朝鮮人/親中派ただの左翼=サイコパス）そうかトーイツ朝鮮（同和）N国玉木前原元彦橋下維新ミン酢百田青山三橋ベクレ宗幣朝鮮外人参政党婆あ",oppose,leadership,高市氏を「嘘吐き」「スパイ」などと侮辱し、人品否定
"ハニトラの調査もして
ハニトラあること認めてんだから",oppose,political_ideology,ハニトラ認知を批判素材として使用
まぁ、選挙までの繋ぎ政権やな,oppose,political_ideology,公明党政治を中立的に評価している
高市は国民舐めてるんだよ,oppose,leadership,国民に対する傲慢さを批判
うおおおおこれは高市さん支持！！！,support,leadership,支持の意図を明確に表明
"ただの親中派（親台親韓反日ニヤニヤ似非保守リアル左翼偽日本人嘘吐きサイコパス安倍鳩山菅じじ石破のコピー反米ヘラヘラ事大主義トカゲ婆ぁスパイ外人）じゃなきゃこんなこと言わないよな
（第二アベ党維新/ミン酢社共小池木原立花元彦泉房穂山本石丸神谷朝鮮外人参政党/百田新党/玉木糞党と連立でも同じだけど）",oppose,political_ideology,高市の政治的信条を否定
ガチ詳しい人に聞きたいんだけど、北斗の拳に例えると今どの辺？,neutral,other_reason,なぞの比喩質問で立場不明
誰を守ってるんだ,oppose,leadership,高市氏の態度を批判的に問い詰めることで、責任感の欠如を指摘
">>12
間違い　国民
正解　　パヨク",oppose,other_reason,右翼の意図を背景に相手を攻撃
">>1
現代のナチス中国共産党「発言を撤回しろ！」
立憲民主党「発言を撤回しろ！」
日本共産党「発言を撤回しろ！""

第三次世界大戦を企てる現代のヒトラー習近平に三跪九叩頭の礼をしてしまう売国政党が有るんですけどwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww",oppose,political_ideology,高市氏の立場に反する政治的批判を含む
んじゃ調査の意味無くね？,oppose,leadership,調査の欠如や不十分さを批判
自民党の坂井学・前国家公安委員長（衆院神奈川5区）が代表を務める政党支部が、公安委員長在任期間を含む2022〜24年に、パチンコ店を運営する2社から計120万円の寄付を受けていたことが、政治資金収支報告書から判明した。これとは別に、登記上は現存しない「幽霊会社」から96万円の寄付を受け取っていた記載もある。,neutral,neutral,事実の単純な提示で立場表明なし
"こんなこと言う人間だったんや
がっかり",oppose,leadership,高市氏の発言に失望し、資質を否定
"パヨクはさ
国民が裏金なんて興味あると思ってるの？",oppose,criticism_validity,高市氏の対応への批判を支持する内容
裏壺仕草(ﾟ∀ﾟ)ｷﾀｺﾚ!!,oppose,leadership,皮肉表現で高市氏の態度を批判
"【悲報】ひろゆき、ガチで名誉毀損罪で逮捕されそう...立花孝志と一緒になってデマ流してた模様
2025.10.13　/poverty/1762976502

>>1
>立花容疑者の情報の入手ルートや情報の信用性が、今後の捜査のポイントになる

つまりアベトモ立花孝志やひろゆき（←朝鮮人でこの名前ｗ）の情報の入手ルートや情報の信用性が確認できなければ、実刑だな

というかその前に、最初に自殺したとされる渡瀬康英県民局長の告発内容や、それへの斎藤元彦や取り巻きの言い分の真実性だろ",oppose,criticism_validity,虚偽情報を流布したとして攻撃している
こんなへ理屈言う総理許してはならない,oppose,leadership,高市氏の対応を批判し、総理としての資質を問う
">>21
パヨクは何言っても文句だろ",oppose,other_reason,パヨクへの否定的言及として高市氏批判
さすが反日政党だわ,oppose,political_ideology,自民党を反日と総体的に非難
"よく言った！
パヨクは悔しいのう（笑）",oppose,political_ideology,野田氏支持を称え、高市氏批判を含む言及
糞ワロタ,oppose,leadership,高市氏の発言に対する軽視・皮肉表現
全員高市みたく企業献金もパーティーもやらんと個人献金だけでほぼやるのも厳しいしな,oppose,leadership,高市氏のやり方に批判的
そんなことよりも国旗損壊罪の方が大事だろ,oppose,other_reason,高市氏への批判を別の問題にすり替えている
">>1
高市「出す……！出すが……今回　まだ　その時と場所の指定まではしていない　そのことを　どうか諸君らも思い出していただきたい」
高市「つまり…我々がその気になれば調査結果の受け渡しは１０年後２０年後ということも可能だろう………ということ…！」",oppose,leadership,調査結果の提示を曖昧にし、責任を回避している姿勢を批判
えなりさなえ「そんなこと言ったってしょうがないじゃない」,oppose,leadership,高市氏の発言を非難
"高市含めネトウヨには常識がない
クズ人間",oppose,leadership,高市氏の人物批判と人格否定
さすが安倍直伝の屁理屈だわ,oppose,leadership,敵対的態度で指導力評価
政治家になるような気の強い女なんてみんなこんなもんだろw,neutral,other_reason,性別への一般化発言で立場不明
">>24 動画
https://video.twimg....s4swGaH9WlBAGoAi.mp4",neutral,other_reason,動画リンクのみで立場表明無
ここでコマンドーネタ放り込んでくるとは,neutral,other_reason,政治議論にそぐわない皮肉・冗談表現
"宿題やりました
でもみせません
馬鹿だろコイツ",oppose,leadership,相手の態度を非難
"公表するメリットがないからな
それより自民党の地盤を強固にする方が国益になる",support,other_reason,高市氏の立場を肯定し、公表を拒否する理由を支持
壺裏金の古き悪しき自民党が戻ってきたな,oppose,political_ideology,自民党への嫌悪と従来の政治悪弊を指摘
脱糞党は野グソでもしてろや,oppose,political_ideology,自民党を暴言で貶め批判
">>34
おまえみたいな底辺パヨクよりは全然マシやで（笑）",oppose,leadership,高市氏を擁護する一方で野田氏を貶め、リーダーシップを論じる内容
安倍晋三の魂はここに居たか,neutral,other_reason,安倍氏への言及と現在の状況の関連性がない
