comment,stance,reason,explanation
『そんなことよりも』発言を釈明　木原官房長官「急いで話題転換する趣旨」,neutral,other_reason,文面に立場や意見表明がなく、事実の引用のみ
野球しようぜ,neutral,,政治議論とは無関係な内容
ああ言った！こう言った！,neutral,neutral,事実列挙文で立場表明なし
"そんなことよりも　だよ
ホント",oppose,leadership,高市氏の発言を不適切と批判
そんなことよりもナイジェリアスレはよ,neutral,other_reason,内容が記事と無関係
高市がなんか喋る度にフォローしないといけないのか,oppose,political_ideology,高市の発言への反発として、フォローを必要とする状況を批判
ところで俺のキンタマを見てくれ,neutral,other_reason,投稿内容が明らかに無関係
ほんと野党には「そんなことよりも」だな,oppose,leadership,高市氏の発言を皮肉り、態度を批判
そんなことウイグルガー,oppose,other_reason,中国的人権問題へ言及し批判的
余計なことしなくていいから消費税廃止してよ,neutral,other_reason,政策要求で立場表明なし
意味のない釈明だよ,oppose,others,釈明の無効性を批判
取りあえず高市は喋らん方が良いw,oppose,leadership,発言自体への否定で指導力批判
そんなことよりも立件崩壊しろ,oppose,political_ideology,'立件崩壊'は建前崩壊を皮肉る言葉で批判意図
">>10
そんなことよりも金融商品課税",neutral,none,高市氏の発言を批判せず、別の政策を提案
政治資金規制法も定数削減も両方やれ,neutral,other_reason,両方やるべきという表明で立場が不明
流行語大賞タイミング遅かったな,neutral,other_reason,話題転換を指摘した文脈無し。元話題とは無関係
"物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",oppose,political_ideology,物価高市への皮肉と右傾化批判
"これはイメージ悪い
政治献金問題より議員削減のほうが重要だろうって言ってるようなもの",oppose,political_ideology,高市氏の議論優先順位に否定的
まさに舌禍,oppose,leadership,発言内容が判断力不足を示唆
">>5 これか？
https://kizuna.5ch.n...i/wcomic/1761345424/",neutral,neutral,リンク先の内容が不明で立場判断不可
急いで話題を転換する＝話をそらしたい 高市政権は言い訳までアホなのか,oppose,leadership,『アホ』という批判が指導力を否定
"立憲民主党も調査委託費という、受け取った側の政治資金収支報告書に記載されないお金を支出しているんだよね。

立憲民主党の調査委託費は、定期的に定額をまるで給料のように支出していて、

委託するお金じゃなくなっているんだよね。

そもそも党員に「調査を委託する」って考え方がおかしいよ。

自民党のキックバック問題が政治資金規正法違反なら、立憲民主党の調査委託費も政治資金規正法違反だよ。

「支持率下げてやる」ために、ただの事務手続き上の失敗をあげつらうよりも、国民の生活を向上することのために議論すべきだよ。",oppose,criticism_validity,高市氏の発言が妥当でないことを批判
"確かに言い方悪いけど
鬼の首取ったように批判することでもないだろ
だから議論が進まない",support,leadership,高氏の言い方が悪かっただけで非難すべきでないと主張
そんなことってぞんざいに取られかねない言い方をわざわざしたのは稚拙,oppose,leadership,発言の場当たりさを指摘
木原さんは大変やなぁw,neutral,other_reason,皮肉を含むが立場が曖昧
立憲の馬鹿どもは本当にろくなのおらんな 全滅しろ,oppose,other_reason,立憲を極めて否定し、排除を求める内容。
裏金より自党に有利な選挙制度変更か,oppose,political_ideology,政調部署改革より定数削減を提示
木原も池沼なの？ｗｗｗｗ,oppose,leadership,官房長官を含め関係者を貶める表現
"森喜朗以来の天然の失言製造機だな
現代版の神の国発言みたいなので、この内閣は爆散すると思うわ",oppose,leadership,失言常習と内閣存続の否定
">>1
高市を必死になって罵倒して攻撃してるのは
下等遺伝子奴隷民族朝鮮人の
中国共産党工作員五毛ドモw🤣",oppose,political_ideology,高市を非人間並みに中傷し、狭隘な国家観で攻撃する表現
そんな(どうでもいい)ことより,oppose,leadership,「どうでもいい」と軽視する表現で高市氏の対応を批判
"立憲脱糞党野ブタは、
自党のバカ子分が原因で、
中国共産党が満天下に恥を晒すハメになったから、
慌てて火消しに出てきたw🤣
野ブタを中国共産党はまた激怒して見ている
野ブタは、
東京都が尖閣諸島を民間から買い上げて都の財産にしようとしたのを
横から強引に買い上げて国有地にしたことで、
中国共産党を激怒させて日本排斥の大騒動を引き起こした張本人
安倍晋三に政権を奪われてから、
ようやく中国共産党の怒りが収まった
中国共産党は東京都が民間から買い上げるのには
過剰な反応をせずに抑制してスルーするところだったのに、
下手に野ブタがしゃしゃり出てきて中国共産党の激怒を買ったw🤣🤣🤣",oppose,leadership,政治的判断力不足と指導力欠如を批判
"サナは誠実だから
思ってることがつい口に出ちゃうの",oppose,leadership,彼女の発言を率直さとして批判
"外交ベタのつい言い過ぎた高市サナ
トランプに激怒され台湾外交部からも信用されず
東洋のゼレンスキーと化し国益を損ねた模様

そんなことよりも内閣官房畑で鍛えられた男
安　倍　晋　三",oppose,diplomacy_ability,外交失敗を理由に批判
"釈明とかいらねー
そんなことよりも円安進行をなんとかしろ
これも喫緊の課題だぞ？",oppose,leadership,高市氏の対応を批判し、指導力に疑問を呈した
発言軽いなあ,oppose,leadership,高市氏の発言を軽視と評価
サナエオワタ,neutral,other_reason,意味不明で判断不能
高市の介護大変そう,neutral,other_reason,公人への個人的負担の歓_icallで立場表明なし
この手の話になると、一斉に似たような内容で中国共産党擁護、日本政府攻撃のレスが増えて、ソレが簡単に論破されると、しばらくそういうヤツラの反応が止まって、またしばらくして別のネタで中国共産党擁護、日本政府攻撃のレスがワッと増えるよなw🤣 裏でどんな話をしてんのか、どこから命令が来てんのか、まるでバレバレなんだけどw🤣🤣🤣,neutral,other_reason,高市氏擁護・批判、報道への意見ではない
党首討論、野党がイニシアチブを取るのに与党が話題を変える？馬鹿なのかな？木原、言い訳ばかりでもうHPはゼロだろ,oppose,leadership,与党指導部の対応を馬鹿と批判
「そんなことよりも」発言を引き出した立憲野田はなぜ国民に謝罪しないのか？なぜこのタイミングで企業団体献金などという失言を狙ったかのような不適切な質問をしたのか？,oppose,political_ideology,野田代表の質問自体を批判し、意図を疑問視
