comment,stance,reason,explanation
,neutral,other_reason,読者コメントが存在しない
"なら早く発言を撤回しろよ
こんな詭弁外国で通じるわけないだろ",oppose,criticism_validity,高市氏の発言を詭弁と批判
立憲民主党が焚き付け、朝日新聞が放火,oppose,criticism_validity,高市氏批判を支持する主張
広島原爆が14万人の日帝国民を焼き殺したから日帝は降伏した。日帝はもっとたくさんの米国兵士を惨殺するつもりだった。広島原爆は天罰だ。,neutral,other_reason,日本政府や高市氏批判ではない
">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",oppose,other_reason,物価上昇への責任を高市氏に負わせ、差別表現で攻撃
じゃああの発言だけ撤回して最初から説明すりゃ良くないっすか？,oppose,leadership,対応すべく発言の撤回を求めた
"トランプとホワイトハウスの考え

高市総理の今回の台湾有事に対する答弁は日本にはこれからアジア太平洋地域で安定した安全保障環境を作り出すために一層、安全保障分野での役割を拡大してもらいたいと考える米国にとっては非常に具合が悪い

日本の高市総理による台湾有事についての発言は敵に塩を送るに等しく、「百害あって一利なし」の行為なのだ。

高市総理に対してトランプやホワイトハウスは

高市は個人の信条を日米同盟の将来や日本の国益に優先させる指導者なのか？

そうだとすると、台湾や尖閣諸島で状況が緊迫するようなことがあった場合に、理性的な対応をしてくれることを本当に期待できるのか？

わざと中国を挑発するような行為に走らないといえるのか？」という不信感が湧き上がっている。

「大局的判断よりも自分の思い入れにこだわる指導者を米国は信頼できるのか？
そのような人物がけん引する日本という国との関係を強化することで、米国がリスクを抱え込んでしまう可能性はないのか？

というわけで、米国の東アジアにおける立ち位置を考慮したうえでの「日本リスク論」が首をもたげているのである。",oppose,leadership,高市の信条優先が指導力の問題として批判
中共は己の器が小さいことをなんとも思わんのかな？,oppose,diplomacy_ability,中国の対応を批判
"いや閣議決定しましただけじゃ意味ねーだろ
さっさとトップ会談でもやってきちんと説明して終わりにしろよこんなアホくせーこと",oppose,diplomacy_ability,外交的対応が不十分と批判
高市をまず叱るべきだよね,oppose,leadership,高市氏の行動への強い非難を表明
"これなw
中共を特別扱いしたがるパヨク立憲",oppose,political_ideology,立憲民主党を左翼・反中勢力と非難
">>3
本当コレ
靖国、慰安婦問題など色んな問題がだいたいコレ
野党が火付けして、オールドメディアが騒いで事を大きくする",oppose,political_ideology,野党とメディアを批判し、保守的視点で中国批判を支持
お前ら国民搾取で自分らが利する事しかしてねえじゃん,oppose,political_ideology,高市氏の政策を批判し、権力の私的利益を指摘
キチガイに隙を見せて絡まれたら終わり それがわかってるから歴代首相は慎重に言葉を選んで作成された官僚のペーパーを重要視した それすらわからず私凄いでしょ～をやりたいが為にベラベラと得意げに喋った浅はかさを反省しろ 右派からしたら「戦艦」の言葉を出した時点で失笑もの,oppose,leadership,高市氏の萎縮感・指導力不足を批判
などと中国の大願阻止を表明して中国と敵対しており、また手の平クルッをやらかしています,oppose,leadership,中国と敵対し手の平転を犯したと批判
"着々と軍備拡張・侵略戦争の準備してる
中国が被害者ムーヴすんなよと
ロシアも大概だ",oppose,security_ability,安全保障観点から高市氏の立場を批判
"それは無理があるやろw
歴代総理が曖昧にしてきた台湾問題にはっきりと
高市が言及したのは
紛れもない事実",support,diplomacy_ability,高市氏の明確な発言を肯定
"野田さんがまさかデマを発信するとはね
世も末だわ",oppose,criticism_validity,デマ発信批判で高市擁護を示唆
