comment,stance,reason,explanation
台湾の外務省にあたる外交部は台湾海峡で中国との衝突が起きた場合、日本が協力して台湾を防衛するかどうかは分からないとする分析内容を議会に報告しました。,neutral,other_reason,事実記述のみで立場表明なし
じゃあなんで中国はキレてんの？,neutral,other_reason,高市氏の評価ではなく第三者を題材にした質問
チャイナ人に日本語の記事は難しいかな？,neutral,other_reason,高市氏や外交言及と無関係
"普通はそう判断するわな
高市降ろしが目的だから
公明党離脱からようやっとる",oppose,political_ideology,高市氏排除を目的とする政争と判断
そう解釈した中国が意味不明といっていただければ,neutral,other_reason,中国の行動をまっすぐ批判しているため
中国の反応が敏感すぎるよね,neutral,other_reason,高市氏の評価を含まず
>>2 朝日に騙されたから,oppose,criticism_validity,朝日新聞の報道を信用しなかった
"むしろ中国批判してるだろこれ
日本はそんなこと言ってないからちょっと落ち着けって話じゃないの",neutral,other_reason,中国批判との比喩か要望が混在
"当たり前の話だろ
日米は当てにならないから自分で防衛するのが基本と言ってんだよ",neutral,other_reason,自身の主張であり、高市氏への支持・批判は表明なし
>>2 意味はないけどニュアンスはある言葉ってあるじゃん 中国に喧嘩を売るニュアンスはあった,oppose,diplomacy_ability,為政者としての外交的発言に問題があると評価
今回の中共ヤクザの日本や高市に対する言動は常軌を逸している 中共ヤクザが、真摯に誠意を持って日本及び高市に謝罪しなければ決して中共ヤクザを許してはならない,oppose,political_ideology,言及された高市は批判の対象として扱われ已
"> 日本が協力して台湾を防衛するかどうかは分からない
しないよ
米軍が参戦しなければ、独自でシーレーンを通る日本の船を護衛するだけ
米軍が参戦したら、集団的自衛権で憲法の範囲内の補給とかするけど",neutral,neutral,立場表明なし。占領地域の状況を事実論述のみ
"台湾は中国と戦うつもりないでしょ
対話による解決模索してた
それを日本が勝手に有事と騒いで逆に中国の武力介入煽ってるんだから救われない",oppose,diplomacy_ability,日本の対中協調を批判
パヨク「台湾外交部の言ってる意味が分からないニダ」,neutral,other_reason,立場表明ではなく、非難対象の発言を引用・翻訳するだけ。
解釈が「難しい」ってなんだ？直接電話して聞きゃいいじゃん「やるの？」「やらんの？」ってハッキリせいや,oppose,leadership,高市氏の曖昧な言動を批判し、明確な指導力を求めている
">>7
アカヒ「準備してた内容を指示通り出しただけっす！」",neutral,other_reason,指示通りですと弁解する内容で、立場明示がない
"高市が言ったのは米が出張って攻撃受けた場合だからな
勝手に拡大解釈した工作員が騒いでるだけなんだよ
あと首切る発言が責められるから逆ギレして誤魔化そうとしてるだけ",support,oppose,高市発言への誤解を非難し擁護
>>2 朝日が台湾取ったら日本が攻撃するとデマ出したから,neutral,other_reason,記事外の出来事を引用した中立的発言
>>10 簡単に頭悪そう,oppose,leadership,高市氏の指導力に疑問を呈した内容。
"外患誘致罪の壺市早苗は死刑　
　
　
　日本国民の敵は、国内にいる朝鮮壺カルト糞チョン政権　
　

495 ウィズコロナの名無しさん sage ▼ New! 2023/07/09(日) 21:42:47.48 ID:LVe9+o000 [15回目]
台湾と日本を1つの韓国にする
i.imgur.com/IIJe79n.jpg

マザームーン

508 ウィズコロナの名無しさん ▼ New! 2023/07/09(日) 21:45:07.62 ID:7TvA0Pan0 [2回目]
>>　495
完全にCIA→KCIAのパシリだよな
Twitterに出てたblck～って何て名前だっけ？
スタバみたいな所で「ウクライナ戦争嬉しい」と発言してたアメリカ人の組織名知りたい",oppose,political_ideology,批判的呼称や主張から判断
つーかさ、台湾が独立した「主権国家」なのか主権国家じゃないのか そこをハッキリせいよ ビビってんじゃねーよ,neutral,none,高市氏に対する評価・判断なし
