comment,stance,reason,explanation
中国の声明に賛成です。日本の軍国主義の復活を許してはなりません。,oppose,political_ideology,日本右傾化・軍国主義への警鐘で、立場表明
,,,
"内政干渉だろw
ホント自分の国内のやり方が国外でも通じると思う所がロシアと変わらん",oppose,criticism_validity,中国の批判自体を妥当と評価
,,,
ガチ詳しい人に聞きたいんだけど、北斗の拳に例えると今どの辺？,neutral,other_reason,比喩的な表現で立場が不明
,,,
散々ODAで育てた結果がこれだよ,oppose,political_ideology,日本に対する信頼喪失と政治的批判
,,,
>>1 お前らは正しいことをやったことが歴史上あるのかよっと,oppose,political_ideology,日本側の歴史認識への根本的否定を示唆
もう放置でいいじゃん,neutral,other_reason,高市氏に関する明確な判断や述べが含まれない
,,,
アメリカに言って,neutral,other_reason,人物や政策に対する立場表明がない
">>1
おまいう",neutral,other_reason,スレッド内返信文で立場不明確
"これも予定通り
トラ「やれ」
毒苗「はあーい♥」",support,political_ideology,トローリー表現でも支持を示唆
悔いの改めは心の変化をもたらす,neutral,other_reason,立場表明なしの抽象的表現
,,,
戦争犯罪? 日本が敗戦した時は中国はまだ成立してなかっただろう,oppose,political_ideology,日本の戦争責任を否定する観点
はいはいチベットチベット,neutral,neutral,記事無関係な内容
,,,
全力で内政干渉してやがる,oppose,diplomacy_ability,中国の言動を内政干渉と批判
だめだこりゃ,oppose,political_ideology,日本の軍国主義復活への強い懸念が表れており、対応すべき立場と見なされる
どっかの政党と同じこと言ってて草,neutral,other_reason,政治的立場表明を否定し、皮肉を含む
,,,
もう大喜利とクソコラのネタ切れかよ 中共は芸人としても三流以下だな,oppose,political_ideology,中国に対する差別的発言で反日的態度を表明
何を言ってんだこいつ ブーメランだぞ,oppose,political_ideology,日本による軍拡に反発し、地政学的リハーサルを批判
,,,
何かもう痛々しいw,oppose,political_ideology,痛々しいと表現し、日本右傾化に否定的
"くだらねぇ
吠えんなよ、犬",oppose,political_ideology,日本を犬に喩え、国辱を強調
まるで獣のような外交だな,oppose,diplomacy_ability,日本外交の非人間的描写
,,,
南シナ海であれだけ横暴な中共 「地域の平和と安定に対する深刻な脅威」はどっちだか,oppose,political_ideology,中国を脅威と批判して日本の行為を正当化
うちさぁ核兵器あんだけど,neutral,other_reason,核兵器保有に関する事実述べのみ
