comment,stance,reason,explanation
20カ国・地域首脳会議（G20サミット）での高市早苗首相と中国の李強首相との接触は行われなかった。高市首相の台湾有事を巡る発言を受けて悪化した日中関係の修復には時間がかかりそうだ。,neutral,neutral,記事内容の事実の再記載であり、立場表明なし
nan,neutral,other_reason,コメントが不明または空
コソコソ逃げ回ってただけかよ   我只是到处跑,oppose,leadership,指導力に欠ける人物像を示唆
ビビり散らかし展   恐怖混乱展览,oppose,leadership,台湾有事発言への不安誘発を批判
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
こいつ、ヒトのせいにするの上手いな   这家伙很会怪别人,oppose,leadership,高市氏が責任を他者に転嫁する資質を批判
日本のメディアはそこにふれないし優しいよな,neutral,other_reason,高市氏への支持・批判ではない
"中国がわが国と国交のない台湾と紛争を　　中国与台湾存在冲突，台湾与日本没有外交关系
起こせば、それこそが　　如果你醒了，那就是它。
【日本の存立危機事態＝日本の武力行使事態】　　【日本的生存危机=日本的武力使用】
なのです。　　是的。
この馬鹿　誰？　　这笨蛋是谁？
高市早苗ｗｗｗｗ　　高市早苗 wwww
「一つの中国」で検索」　　搜索“一个中国”
。。。。
【日本の存立危機事態＝日本の武力行使事態】　　【日本的生存危机=日本的武力使用】
は中国から見れば米軍の攻撃を意味するのだ。　　从中国的角度来看，意味着美军发动攻击。
中国の反発は当然であり長期化する。　　中国的反弹是自然且持久的。
・中国は日本産水産物の輸入を停止した。　　・中国已停止进口日本产海鲜。
・中国は日本産牛肉の輸入再開協議も中止した。　　・中国也取消了恢复进口日本牛肉的谈判。
・中国はレアアースの輸出を規制した。　　・中国限制了稀土的出口。
日本は高市のせいで国益を損なった。　　日本因高市而损害了国家利益。
無教養＝野蛮人が。　　无知=野蛮。
高市早苗は女なら責任を取れ。　　高市早苗是个女人，要负责任。",oppose,political_ideology,批判は高市の台湾発言と政治的発言を主な根拠としている
勝手にキレる愚鈍は相手にしないのが一番効くからなw掲示板の荒らしと一緒,support,political_ideology,批判を避け対応しない姿勢を称賛
「会話する気なかった」ということですねわかります,neutral,neutral,事実を受けての説明で立場表明なし
nan,neutral,other_reason,有効なコメントがないため
